timestamp_ms,70886b12600d,70886b125400,70886b12621c,70886b1259c5,70886b125db1
1649943000000,58.463,56.403,59.559,56.059,60.72
1649943300000,58.224,55.613,59.606,55.376,60.883
1649943600000,58.22,55.953,59.693,54.234,60.536
1649943900000,57.583,55.86,59.58,54.273,59.87
1649944200000,57.5,55.76,59.169,54.443,58.99
1649944500000,57.003,55.727,58.723,53.876,58.186
1649944800000,57.15,55.246,58.458,53.716,58.096
1649945100000,56.889,55.14,58.236,53.569,57.829
1649945400000,56.79,55.256,58.17,53.686,57.453
1649945700000,56.953,55.586,58.006,53.816,57.69
1649946000000,56.586,55.136,58.086,53.369,57.334
1649946300000,56.899,55.039,57.933,53.29,57.486
1649946600000,57.003,54.996,58.233,53.213,57.496
1649946900000,56.92,55.016,58.123,53.123,57.6
1649947200000,56.723,55.066,57.889,53.36,57.23
1649947500000,56.706,55.53,58.116,53.81,57.493
1649947800000,56.903,55.962,57.824,54.679,57.566
1649948100000,56.836,56.053,57.619,55.073,57.276
1649948400000,56.333,55.423,57.223,54.7,56.6
1649948700000,55.41,55.556,56.633,54.716,55.47
1649949000000,55.13,55.046,56.049,54.316,55.203
1649949300000,54.399,54.106,55.303,54.053,54.333
1649949600000,54.437,54.46,55.036,53.379,54.863
1649949900000,54.996,54.25,55.72,53.163,55.109
1649950200000,55.263,54.246,56.139,53.396,54.993
1649950500000,55.319,53.731,56.22,53.423,54.951
1649950800000,55.35,54.313,56.653,53.453,55.09
1649951100000,54.466,54.169,56.486,53.63,54.346
1649951400000,53.656,54.296,55.443,53.276,53.793
1649951700000,52.726,54.013,53.93,52.573,52.833
1649952000000,52.393,53.45,53.189,51.8,52.346
1649952300000,52.273,52.673,52.916,51.46,52.286
1649952600000,52.71,52.15,53.49,51.168,53.216
1649952900000,52.899,52.279,54.01,50.863,53.699
1649953200000,53.096,52.58,54.4,51.223,53.906
1649953500000,53.669,53.075,54.46,51.236,54.344
1649953800000,53.483,52.893,55.358,51.376,54.426
1649954100000,52.386,52.736,55.313,51.323,54.056
1649954400000,52.376,52.233,55.026,50.786,53.466
1649954700000,53.073,51.853,54.94,50.44,53.136
1649955000000,52.086,51.66,54.626,50.033,51.46
1649955300000,51.286,50.613,53.42,49.4,50.883
1649955600000,50.996,50.04,52.763,48.726,51.54
1649955900000,51.162,50.076,52.943,48.7,51.89
1649956200000,50.917,50.013,53.02,48.429,51.753
1649956500000,50.103,49.743,52.623,48.166,50.74
1649956800000,49.84,49.268,51.799,47.766,50.482
1649957100000,49.779,48.933,51.359,47.42,50.246
1649957400000,49.75,48.603,51.366,47.366,50.546
1649957700000,49.986,48.803,51.67,47.286,51.114
1649958000000,49.9,48.61,51.956,47.296,50.976
1649958300000,49.703,48.32,52.063,47.24,51.013
1649958600000,49.651,48.286,52.375,47.163,51.386
1649958900000,49.506,48.7,52.448,46.544,51.427
1649959200000,49.493,48.676,51.855,46.866,51.519
