timestamp_ms,70886b12600d,70886b125400,70886b12621c,70886b1259c5,70886b125db1
1649943000000,0.033,0.3,0.233,0.633,0.533
1649943300000,0.206,0.3,0.033,0.3,0.5
1649943600000,0.133,0.2,0.066,0.275,0.4
1649943900000,0.266,0.133,0.2,0.033,0.633
1649944200000,0.1,0.2,0.3,0.533,0.133
1649944500000,0.1,0.137,0.1,0.3,0.379
1649944800000,0.066,0.166,0.034,0.133,0.533
1649945100000,0.033,0.166,0.166,0.233,0.4
1649945400000,0.066,0.233,0.1,0,0.233
1649945700000,0,0.033,0,0.1,0.166
1649946000000,0,0.166,0.1,0.033,0
1649946300000,0.033,0.166,0.033,0.133,0.066
1649946600000,0.034,0.166,0.066,0.034,0.266
1649946900000,0.1,0.066,0.066,0.1,0.5
1649947200000,0.133,0.1,0.103,0.1,0.433
1649947500000,0.166,0.1,0.1,0.866,0.586
1649947800000,0.266,0.62,0.31,0.5,0.6
1649948100000,0.066,0.866,0.333,0.8,0.866
1649948400000,0.233,0.766,0.433,1,0.466
1649948700000,0.2,0.566,0.133,1.266,0.333
1649949000000,0.266,0.466,0.233,1.1,0.233
1649949300000,0.333,0.466,0.066,0.666,0.233
1649949600000,0.206,0.533,0,0.482,0.166
1649949900000,0.166,0.4,0.1,0.333,0.133
1649950200000,0.233,0.333,0.133,0.5,0.2
1649950500000,0.2,0.413,0.233,0.366,0.206
1649950800000,0.366,0.533,0.3,0.733,0.333
1649951100000,0.4,0.6,0.206,0.366,0.3
1649951400000,0.266,0.533,0.3,0.6,0.3
1649951700000,0.2,0.6,0.1,0.466,0.266
1649952000000,0.566,0.6,0.1,0.533,0.1
1649952300000,0.3,0.5,0.166,0.566,0.366
1649952600000,0.206,0.566,0.2,0.896,0.433
1649952900000,0.266,1,0.166,1.1,1.2
1649953200000,0.428,1.133,0.233,1.633,0.366
1649953500000,0.733,1.275,0.766,1.3,1.137
1649953800000,0.8,1.2,0.551,1.666,1.666
1649954100000,0.633,1.233,0.766,1.566,1
1649954400000,0.833,1.2,0.866,1.3,1.133
1649954700000,0.9,1.166,0.9,1.366,0.933
1649955000000,0.666,1,0.8,1.166,0.5
1649955300000,0.6,1,0.566,1.066,0.266
1649955600000,0.233,0.7,0.733,1.133,0.6
1649955900000,0.241,0.733,0.566,0.896,0.366
1649956200000,0.413,0.766,0.2,0.633,0.666
1649956500000,0.266,0.833,0.1,0.733,0.2
1649956800000,0.2,0.62,0.172,0.5,0.275
1649957100000,0.233,0.466,0.2,0.6,0.366
1649957400000,0.466,0.466,0.3,0.4,0.6
1649957700000,0.466,0.533,0.333,0.5,0.629
1649958000000,0.178,0.642,0.366,0.733,0.3
1649958300000,0.266,1.533,0.5,1.133,1.233
1649958600000,0.482,1.433,0.75,1.466,1.133
1649958900000,0.366,1.133,0.551,1.137,1
1649959200000,0.233,0.933,0.62,1.1,0.3
1649959500000,0.31,0.666,0.333,0.633,0.366
1649959800000,0.172,0.888,0.344,0.517,0.37
1649960100000,0.266,0.166,0.068,0.166,0.366
1649960400000,0.2,0.533,0.1,0.4,0.166
1649960700000,0.066,0.266,0.133,0.333,0.033
1649961000000,0.033,0.133,0.566,0.333,0.133
1649961300000,0.233,0.366,0.2,0.433,0.066
1649961600000,0.068,0.366,0.233,0.433,0.4
1649961900000,0.066,0.3,0.2,0.633,0.133
1649962200000,0.033,0.333,0.1,0.62,0.3
1649962500000,0.1,0.2,0.033,0.3,0
1649962800000,0.033,0.344,0,0.133,0.31
1649963100000,0.066,0.2,0.034,0.533,0.666
1649963400000,0.1,0.4,0.166,0.533,0.7
1649963700000,0.333,0.233,0.366,0.766,0.6
1649964000000,0.827,0.551,0.793,0.896,1.034
1649964300000,0.8,1.3,0.833,1.7,1.233
1649964600000,0.866,2.166,1.2,2.4,1.5
1649964900000,1.068,1.666,1.3,1.766,1.166
1649965200000,1.233,1.633,1.566,1.551,1.6
1649965500000,1.076,1.7,1.2,1.466,1.1
1649965800000,0.8,1.666,1.066,1.766,1
1649966100000,0.5,1.689,0.931,1.533,1.482
1649966400000,0.892,1.166,0.866,1.466,1.666
1649966700000,0.5,1.033,0.666,1.066,0.766
1649967000000,0.733,1.233,1,1.206,0.6
1649967300000,0.9,1.2,0.7,0.833,0.5
1649967600000,0.5,0.933,0.3,1.1,0.5
1649967900000,0.586,1.2,0.7,1.166,1.233
1649968200000,0.266,1.133,0.3,1.103,0.9
1649968500000,0.433,1.466,0.366,0.733,0.8
1649968800000,0.5,1.733,0.533,1.9,1.066
1649969100000,0.4,1.172,0.5,2,1.758
1649969400000,0.3,0.8,1.034,1.833,1.133
1649969700000,0.533,3.2,0.9,2.833,2.633
1649970000000,0.766,2.533,1,3.133,3.5
