timestamp_ms,70886b12600d,70886b125400,70886b12621c,70886b1259c5,70886b125db1
1649943000000,259.333,293.466,305.333,296.966,124.733
1649943300000,260,299.633,308.3,304.633,124.833
1649943600000,259.5,311.8,304.9,299.965,124.766
1649943900000,252.533,317.366,303.766,303.1,124.6
1649944200000,250.8,318.333,301.966,299.666,124.6
1649944500000,254.533,312.758,304.1,300.533,126.62
1649944800000,261.833,312.666,311.724,299.933,128.8
1649945100000,269.966,318.166,318.133,306.066,129.066
1649945400000,271.233,319.133,324.9,312.7,132.2
1649945700000,276.533,322.133,325.9,313.166,136.866
1649946000000,278.633,325,327.733,318.833,139.344
1649946300000,280.033,332.233,328.866,321.6,139.966
1649946600000,278.758,333.866,329.466,319.586,141.3
1649946900000,277.4,334.833,325.866,320.666,136.7
1649947200000,274.066,331.8,322.413,321.633,135.3
1649947500000,276.966,338.833,325.633,326.7,136.62
1649947800000,279.633,331.31,325.586,316.833,138.366
1649948100000,285.633,339.966,329.5,322.733,142.033
1649948400000,287.666,347.266,334,330.066,143.866
1649948700000,295.766,354.5,338.8,342.033,148.466
1649949000000,298.5,360.133,342.566,341.866,151.666
1649949300000,298.233,374.466,344.3,349.766,152.966
1649949600000,308.068,370.766,350.7,355.172,158.833
1649949900000,309.366,375.033,356.766,361,160.766
1649950200000,309.466,380.1,356.533,360.966,163.733
1649950500000,306.3,392.103,353.166,360.8,164.793
1649950800000,304.266,383.733,352.233,413.433,165.566
1649951100000,301.7,390.833,347.551,399.2,162
1649951400000,296.766,379.4,344.366,358.6,157.666
1649951700000,300.366,377.233,344.3,356.1,159.233
1649952000000,303.366,379.866,348.533,358.066,163.933
1649952300000,306.933,387.3,351.4,357.333,163.333
1649952600000,312.241,388.033,359.933,370.379,171.266
1649952900000,320.033,387.166,369.133,378.233,177.2
1649953200000,328.535,385.933,380.366,377.3,176.5
1649953500000,323.366,394,379.566,381.766,170.655
1649953800000,323,410.133,373.931,397.7,177.366
1649954100000,329.333,427.333,375.566,412,183.5
1649954400000,339.866,491.8,376.666,460.2,190.233
1649954700000,347.6,477.166,387.9,443.133,191
1649955000000,351.2,464.533,399.233,442.466,194.533
1649955300000,358.566,475.533,403.566,439.366,201
1649955600000,362.933,483.4,423.933,458.666,208.366
1649955900000,368.62,492.5,443.366,465.137,210.5
1649956200000,373.344,504.4,451.866,477.4,208.566
1649956500000,372.1,494.533,449.233,473,210.166
1649956800000,370.166,497.31,446.379,464.366,211.31
1649957100000,372.366,496.633,444.533,468.066,204
1649957400000,368.666,499.7,439.3,459.133,199.566
1649957700000,365.866,489.433,429.966,450.966,196.814
1649958000000,360.107,480.107,423.866,449.7,193.5
1649958300000,356.333,471.9,414.2,441.566,191.2
1649958600000,349.103,442.8,406.964,419.366,188
1649958900000,353.633,433.6,408.448,424.206,188.241
1649959200000,345.166,433.433,409.379,419.533,187.1
1649959500000,348.551,433.433,416.9,427.3,194.333
1649959800000,351.758,440.925,425.62,429.586,193.148
1649960100000,351.933,440.666,426.965,426,193.766
1649960400000,350.066,446.366,424.233,426.233,194
1649960700000,348.066,442.9,416.766,427.133,187.5
1649961000000,341.733,441.966,408.666,416.7,186.133
1649961300000,337.333,438.933,398.6,414.966,181.6
1649961600000,332.517,427.466,391.666,406.7,176.866
1649961900000,330.766,428.066,386.133,404.933,179.8
1649962200000,336.833,420.3,387.466,403,187
1649962500000,339.6,421.333,396.833,401.9,188.866
1649962800000,343.666,430.103,405.733,411.233,192.517
1649963100000,349.066,441.933,416.862,425.466,205.033
1649963400000,348.766,442.966,421.066,409.233,195.533
1649963700000,330.966,419.1,388,394.266,179.233
1649964000000,304,379.689,356.931,364.517,160.62
1649964300000,292.733,372.933,349.833,360.8,151.266
1649964600000,300,384.633,351.9,378.6,150
1649964900000,304.448,389.4,352.5,377.633,149.8
1649965200000,309.7,399.566,362.633,367.586,150.166
1649965500000,319.576,429.866,356.733,391.866,163.3
1649965800000,354.7,522.299,378.866,478.033,188.433
1649966100000,382.366,542.827,432.586,470.333,219.034
1649966400000,383.678,527.666,454.7,479.7,219.1
1649966700000,380.285,527.266,463.333,480.8,214.733
1649967000000,381.366,522.033,472.9,491.517,217.633
1649967300000,367.833,513.166,448,485.1,209.1
1649967600000,353.666,507.466,435.033,492.3,188.2
1649967900000,342.62,479.766,400.966,459.766,182.966
1649968200000,329.5,439.4,363.2,444.034,168.333
1649968500000,307.666,423.533,339.533,414.166,145.633
1649968800000,301,390.8,337.7,366.7,143.666
1649969100000,299.933,390,329.966,378.1,156.827
1649969400000,310.5,379.2,354.793,366.1,166.533
1649969700000,316.933,420.533,361.933,399.266,175.1
1649970000000,329.7,451.166,398.166,474.466,188.6
1649970300000,352.866,473.4,449.866,478,184.448
1649970600000,353.379,472.724,484.266,459.133,164.827
1649970900000,344.633,447.444,454.166,471.6,150.8
1649971200000,330.4,435.733,410.222,441.31,140.6
1649971500000,319,426.6,405.482,396.966,148.4
1649971800000,307.1,406.466,364.066,387.566,141.766
1649972100000,297.833,397.31,342.068,365.833,140.275
1649972400000,291.3,373.666,348.366,380.4,142.5
1649972700000,308.766,386.066,348.833,390.566,160.533
1649973000000,324.533,420.8,374.379,407.333,184.966
1649973300000,337.633,445.3,392.833,438.833,194.533
1649973600000,342.366,451.166,403.133,441.8,195.8
1649973900000,331.034,426.4,377.833,407.366,174.966
1649974200000,307.833,375.9,348.533,362.206,149.266
