timestamp_ms,70886b12600d,70886b125400,70886b12621c,70886b1259c5,70886b125db1
1649806800000,18.926,19.668,18.8,20.202,18.695
1649807100000,18.858,19.616,18.781,20.106,18.717
1649807400000,18.826,19.54,18.751,20.037,18.762
1649807700000,18.812,19.5,18.713,20.049,18.785
1649808000000,18.75,19.478,18.726,19.996,18.828
1649808300000,18.713,19.441,18.712,19.992,18.868
1649808600000,18.707,19.422,18.716,19.91,18.893
1649808900000,18.732,19.403,18.749,19.944,18.866
1649809200000,18.75,19.378,18.758,19.905,18.86
1649809500000,18.732,19.382,18.733,19.92,18.871
1649809800000,18.711,19.343,18.727,19.854,18.876
1649810100000,18.668,19.326,18.697,19.827,18.859
1649810400000,18.704,19.296,18.692,19.862,18.861
1649810700000,18.61,19.28,18.627,19.81,18.925
1649811000000,18.635,19.262,18.659,19.769,18.92
1649811300000,18.623,19.255,18.681,19.693,18.92
1649811600000,18.663,19.261,18.651,19.7,18.974
1649811900000,18.711,19.311,18.739,19.54,19.128
1649812200000,18.873,19.626,19.001,19.635,19.33
1649812500000,19.024,20.064,19.166,20.021,19.499
1649812800000,19.291,20.435,19.354,20.398,19.768
1649813100000,19.497,20.781,19.523,20.607,20.111
1649813400000,19.639,21.023,19.672,20.744,20.328
1649813700000,19.732,21.172,19.761,20.85,20.439
1649814000000,19.878,21.272,19.858,20.971,20.551
1649814300000,19.935,21.352,19.988,21.085,20.67
1649814600000,20.064,21.452,20.073,21.288,20.783
1649814900000,20.148,21.536,20.048,21.429,20.859
1649815200000,20.251,21.626,20.093,21.55,20.898
1649815500000,20.442,21.609,20.212,21.626,20.815
1649815800000,20.633,21.691,20.465,21.756,20.813
1649816100000,20.723,21.689,20.605,21.864,20.936
1649816400000,20.788,21.793,20.745,21.822,20.994
1649816700000,20.898,21.78,20.825,21.749,21
1649817000000,20.874,21.751,20.749,21.678,20.986
1649817300000,20.805,21.708,20.893,21.626,21.03
1649817600000,20.767,21.678,20.887,21.511,21.086
1649817900000,20.661,21.644,20.651,21.437,21.168
1649818200000,20.655,21.633,20.685,21.53,21.193
1649818500000,20.697,21.661,20.731,21.607,21.286
1649818800000,20.723,21.589,20.728,21.658,21.324
1649819100000,20.681,21.56,20.673,21.556,21.288
1649819400000,20.683,21.575,20.655,21.494,21.287
1649819700000,20.667,21.514,20.645,21.462,21.248
1649820000000,20.661,21.501,20.677,21.426,21.205
1649820300000,20.613,21.466,20.683,21.429,21.143
1649820600000,20.632,21.45,20.737,21.409,21.11
1649820900000,20.631,21.434,20.723,21.376,21.056
1649821200000,20.631,21.44,20.753,21.354,20.961
1649821500000,20.622,21.374,20.814,21.33,21.011
1649821800000,20.637,21.365,20.856,21.272,21.103
1649822100000,20.616,21.302,20.791,21.245,20.979
1649822400000,20.622,21.255,20.731,21.25,20.979
1649822700000,20.729,21.294,20.832,21.299,21.021
1649823000000,20.796,21.334,20.798,21.352,20.959
1649823300000,20.877,21.378,20.827,21.357,20.868
1649823600000,20.86,21.442,20.855,21.386,20.776
1649823900000,20.896,21.504,20.854,21.488,20.864
1649824200000,20.927,21.539,20.81,21.546,20.887
1649824500000,20.989,21.547,20.835,21.554,20.973
1649824800000,21.068,21.565,20.839,21.606,20.941
1649825100000,21.101,21.553,20.862,21.605,20.907
1649825400000,21.102,21.533,20.824,21.611,20.953
1649825700000,21.129,21.572,20.927,21.6,20.953
1649826000000,21.16,21.562,20.983,21.592,20.955
1649826300000,21.227,21.63,20.995,21.605,20.921
1649826600000,21.23,21.661,20.979,21.635,20.939
1649826900000,21.247,21.659,21.001,21.686,20.903
1649827200000,21.312,21.672,21.054,21.737,20.929
1649827500000,21.22,21.662,21.029,21.697,20.952
1649827800000,21.226,21.693,21.045,21.729,20.962
1649828100000,21.306,21.686,21.007,21.693,21.017
1649828400000,21.33,21.671,21.027,21.697,20.962
1649828700000,21.311,21.673,21.004,21.685,20.991
1649829000000,21.346,21.72,20.965,21.703,21.001
1649829300000,21.36,21.727,20.955,21.739,21.017
1649829600000,21.406,21.751,20.944,21.778,20.989
1649829900000,21.456,21.77,20.987,21.823,20.993
1649830200000,21.523,21.791,20.985,21.82,20.994
1649830500000,21.506,21.803,20.977,21.776,21.028
1649830800000,21.51,21.809,21.093,21.77,21.041
1649831100000,21.508,21.848,21.013,21.762,21.031
1649831400000,21.435,21.837,21.134,21.759,21.027
1649831700000,21.377,21.781,21.093,21.72,20.951
1649832000000,21.334,21.705,21.027,21.642,20.933
1649832300000,21.223,21.604,20.951,21.559,20.889
1649832600000,21.117,21.552,20.953,21.536,20.922
1649832900000,21.058,21.523,20.933,21.522,20.886
1649833200000,21.078,21.474,20.951,21.528,20.867
1649833500000,20.908,21.328,20.851,21.561,20.477
1649833800000,20.696,21.057,20.609,21.338,20.056
1649834100000,20.366,20.74,20.198,21.024,19.676
1649834400000,20.093,20.51,20.048,20.69,19.351
1649834700000,19.757,20.374,19.718,20.486,19.074
1649835000000,19.623,20.302,19.592,20.287,18.936
1649835300000,19.554,20.167,19.464,20.196,18.757
1649835600000,19.428,20.062,19.316,20.119,18.602
1649835900000,19.205,19.941,19.137,20.094,18.475
1649836200000,18.891,19.719,18.84,19.847,18.452
1649836500000,18.718,19.529,18.739,19.655,18.29
1649836800000,18.782,19.531,18.721,19.712,18.122
1649837100000,18.841,19.489,18.759,19.766,18
1649837400000,18.797,19.434,18.683,19.832,17.909
1649837700000,18.727,19.386,18.62,19.638,17.856
1649838000000,18.669,19.292,18.557,19.622,17.822
1649838300000,18.628,19.287,18.538,19.545,17.86
1649838600000,18.554,19.251,18.481,19.398,17.859
1649838900000,18.54,19.191,18.457,19.357,17.821
1649839200000,18.505,19.153,18.412,19.328,17.814
1649839500000,18.326,19.107,18.33,19.272,17.813
1649839800000,18.128,18.927,18.13,19.176,17.625
1649840100000,18.024,18.778,18.014,18.942,17.473
1649840400000,18.109,18.796,18.013,18.786,17.575
1649840700000,18.139,18.804,18.033,18.766,17.548
1649841000000,18.069,18.775,18.015,18.826,17.472
1649841300000,18.025,18.747,17.992,18.801,17.448
1649841600000,18.296,18.839,18.042,18.993,17.751
1649841900000,18.377,18.867,18.036,19.06,17.784
1649842200000,18.336,18.836,18.071,19.041,17.631
1649842500000,18.234,18.75,18.108,18.931,17.651
1649842800000,18.323,18.755,18.035,18.869,17.752
1649843100000,18.366,18.748,18.126,18.871,17.783
1649843400000,18.39,18.782,18.172,18.855,17.798
1649843700000,18.273,18.798,18.161,18.871,17.799
1649844000000,18.167,18.753,18.144,18.955,17.85
1649844300000,18.205,18.766,18.155,19.003,17.905
1649844600000,18.267,18.805,18.223,18.983,17.922
1649844900000,18.315,18.842,18.242,19.031,17.955
1649845200000,18.337,18.856,18.242,19.085,17.98
1649845500000,18.462,18.891,18.161,19.261,18.168
1649845800000,18.596,19.017,18.416,19.379,18.237
1649846100000,18.668,19.085,18.6,19.465,18.274
1649846400000,18.836,19.187,18.713,19.608,18.334
1649846700000,18.923,19.241,18.726,19.6,18.371
1649847000000,18.914,19.2,18.795,19.53,18.353
1649847300000,18.948,19.179,18.819,19.425,18.34
1649847600000,18.939,19.141,18.798,19.487,18.347
1649847900000,18.967,19.119,18.835,19.507,18.364
1649848200000,19.029,19.11,18.848,19.474,18.334
1649848500000,19.085,19.11,18.863,19.415,18.33
1649848800000,19.111,19.076,18.875,19.343,18.319
1649849100000,19.044,19.066,18.868,19.362,18.337
1649849400000,19.059,19.099,18.823,19.314,18.337
1649849700000,19.02,19.095,18.935,19.354,18.39
1649850000000,18.938,19.131,18.776,19.331,18.389
1649850300000,18.985,19.081,18.865,19.356,18.432
