timestamp_ms,70886b12600d,70886b125400,70886b12621c,70886b1259c5,70886b125db1
1649806800000,704,699.833,720.2,697.9,684.533
1649807100000,688.633,679.931,703.233,679.733,672.366
1649807400000,685.6,670.8,691.633,672.133,670
1649807700000,683.8,665.966,693.413,670.633,672.133
1649808000000,678.733,662.066,691.233,665.4,666.222
1649808300000,675.233,659.766,684.4,661.166,657.533
1649808600000,669.833,656.866,676.633,655.866,655.233
1649808900000,659.266,646.633,671.733,648.62,655.766
1649809200000,649.366,635.3,665.966,640.3,643.1
1649809500000,644.8,628.766,655.8,632.8,624.433
1649809800000,633.344,618.533,647.066,623.9,614.533
1649810100000,621.666,608.379,633.033,614,611.166
1649810400000,611.1,604.433,620.266,607.066,600.833
1649810700000,603.7,598.6,614.62,601.9,591.766
1649811000000,605.366,599,614.3,597.166,597.266
1649811300000,608.566,597.4,615.533,596.206,596.241
1649811600000,615.433,597.166,615.2,592.827,595.6
1649811900000,612.066,598.6,615.9,596.586,598.866
1649812200000,611.241,596.551,618.275,599.275,593.103
1649812500000,612.7,589.7,617.533,595.533,592.533
1649812800000,609,585.566,620.5,589.7,588.9
1649813100000,603.068,581.933,614.1,583.733,584.266
1649813400000,599.133,576.965,608.933,580.033,580.966
1649813700000,593.833,570.066,601.5,572.933,575.933
1649814000000,590.8,568.8,597.103,568.366,574.4
1649814300000,586.766,565,597.466,563.2,569.413
1649814600000,586.4,565.866,594.666,566.666,573.733
1649814900000,586.266,564.233,593.166,575.068,572.666
1649815200000,583.833,568.3,593.2,578.466,571.333
1649815500000,582.551,568.266,591.766,577.033,567.266
1649815800000,572.103,563.9,581.2,574.933,564.1
1649816100000,567.068,555.555,576.733,573.633,563.233
1649816400000,565.965,551,573.896,571,562.758
1649816700000,564.233,549.517,570.933,564.7,559.966
1649817000000,563.166,547.233,569.172,562.033,559.8
1649817300000,562.233,546.066,563.9,560.633,556.655
1649817600000,565.6,547.366,561.466,553.8,550.366
1649817900000,565.466,549.066,563.433,552.166,549.566
1649818200000,564.8,548.766,567.633,552.758,545.666
1649818500000,567.566,547.533,570.766,555.3,549.9
1649818800000,571.344,548.033,570.923,562.366,554.233
1649819100000,570.9,550.172,574.166,561.766,547.833
1649819400000,568.733,549.466,573.2,559.266,548.466
1649819700000,566.766,550.8,573.827,556.066,548.866
1649820000000,566.466,544.166,569.466,554.7,547.633
1649820300000,568.166,543.6,570.4,553.633,550.241
1649820600000,566,541.566,567.758,551.066,549.482
1649820900000,561.4,541.933,572.633,550.666,547.066
1649821200000,563.066,542.833,571.833,551.068,546.8
1649821500000,562.666,540.9,567.4,549.133,543.633
1649821800000,562.4,539.3,571.266,546.333,541.366
1649822100000,567.034,540.366,572.7,547.366,537.7
1649822400000,569.233,539.482,577.1,549.766,542.2
1649822700000,564.733,543.133,572.1,553.5,544.266
1649823000000,562.966,542.433,576.172,553.7,535.8
1649823300000,564.6,545.866,574.8,553.5,543.344
1649823600000,567.3,548.466,577.066,555.566,544.566
1649823900000,563.8,547,573.7,554.9,542.1
1649824200000,558.533,546,568.766,550.068,539.833
1649824500000,555.3,540.333,564.066,545.793,544.3
1649824800000,550.1,534.966,562.333,540.4,539.633
1649825100000,545.862,534.3,556.8,537.1,536.433
1649825400000,540.9,534.965,560.1,539.866,531.633
1649825700000,540.433,535.466,565.633,539.666,526.533
1649826000000,540.7,538.466,562.241,540.4,522.733
1649826300000,545.166,535.966,558.133,540.566,523.586
1649826600000,546.433,533.5,555.866,539.366,524.533
1649826900000,545.633,534.066,553.1,537.866,529.066
1649827200000,543,533.166,548,536.931,527.833
1649827500000,540.7,529.233,550.566,535.433,530.033
1649827800000,537.233,528.566,545.6,533.233,531.9
1649828100000,535.076,527.233,538.4,531.5,527.466
1649828400000,535.448,521.965,538.3,526.833,521.133
1649828700000,535.5,520.299,535.533,523.766,524.566
1649829000000,530.433,517.9,534.724,520.166,518.4
1649829300000,529.933,509.833,534.3,519.633,517.241
1649829600000,528.517,514,534.433,521.766,513.366
1649829900000,528.766,518.1,534.233,521.4,513.799
1649830200000,527.333,516.233,531.3,522,514.6
1649830500000,528.1,515.333,529.166,522.299,518.033
1649830800000,527.733,513.566,528.8,522.366,517.299
