timestamp_ms,70886b12600d,70886b125400,70886b12621c,70886b1259c5,70886b125db1
1650416400000,0,0.166,0.033,0.166,0
1650416700000,0.133,0.1,0.1,0.033,0.133
1650417000000,0.206,0.033,0.379,0.066,0.033
1650417300000,0.233,0.033,0.166,0.066,0
1650417600000,0.5,0.033,0.133,0.066,0
1650417900000,0.366,0,0.133,0,0.033
1650418200000,0.233,0.066,0.133,0.034,0
1650418500000,0.066,0.034,0.2,0.033,0.066
1650418800000,0.066,0,0.033,0.033,0.033
1650419100000,0.033,0,0,0,0.344
1650419400000,0.166,0,0.066,0.033,0.066
1650419700000,0.033,0.033,0.068,0,0.1
1650420000000,0.068,0,0.166,0.033,0.133
1650420300000,0.033,0,0,0,0.5
1650420600000,0.366,0.033,0.1,0,0.066
1650420900000,0.433,0.033,0,0,0.066
1650421200000,0.866,0,0.033,0,0.033
1650421500000,0.7,0,0.3,0,0.033
1650421800000,0.433,0.066,0.233,0,0
1650422100000,0.433,0,0,0,0
1650422400000,0.133,0.033,0.1,0,0
1650422700000,0.133,0,0.066,0,0
1650423000000,0.137,0,0.034,0,0.033
1650423300000,0,0,0,0,0
1650423600000,0,0,0,0,0
1650423900000,0.133,0,0,0,0.033
1650424200000,0.482,0,0.066,0,0
1650424500000,0.866,0,0.166,0,0
1650424800000,1.034,0,0.448,0,0
1650425100000,0.833,0,0.466,0,0
1650425400000,0.433,0,0.366,0.033,0.033
1650425700000,0.4,0,0.4,0,0
1650426000000,0.233,0,0.068,0,0
1650426300000,0.034,0,0.1,0.066,0
1650426600000,0.133,0.033,0,0.033,0.033
1650426900000,0,0,0.033,0,0
1650427200000,0.066,0,0.1,0,0
1650427500000,0.166,0,0,0,0.033
1650427800000,0.266,0.034,0.066,0.033,0
1650428100000,0.233,0,0.033,0.033,0
1650428400000,0.466,0,0.066,0,0
1650428700000,0.3,0,0.3,0,0
1650429000000,0.2,0,0.233,0,0
1650429300000,0.31,0,0,0,0.033
1650429600000,0.033,0,0.066,0,0
1650429900000,0.066,0,0.066,0,0.033
1650430200000,0.166,0,0.1,0,0
1650430500000,0.233,0,0.033,0,0
1650430800000,0.133,0,0,0,0
1650431100000,0.4,0,0.066,0.034,0
1650431400000,0.8,0,0.166,0,0
