timestamp_ms,70886b12600d,70886b125400,70886b12621c,70886b1259c5,70886b125db1
1650416400000,22.176,21.9,23,21.053,21.74
1650416700000,22.92,22.233,23.333,21.889,22.246
1650417000000,22.817,22.443,23.451,22.486,21.913
1650417300000,22.959,22.383,23.21,22.116,21.996
1650417600000,22.653,22.276,23.096,21.743,22.06
1650417900000,22.53,22.469,22.986,21.419,22.07
1650418200000,22.53,22.249,22.99,21.331,22.155
1650418500000,22.64,22.324,23.166,21.266,22.233
1650418800000,22.839,22.26,23.306,21.316,22.323
1650419100000,22.913,22.273,23.409,21.293,22.382
1650419400000,22.959,22.159,23.486,21.446,22.463
1650419700000,22.973,22.276,23.617,21.456,22.5
1650420000000,23.017,22.336,23.7,21.496,22.49
1650420300000,22.919,22.33,23.743,21.459,22.47
1650420600000,22.673,22.273,23.779,21.163,22.446
1650420900000,22.396,22.16,23.666,20.899,22.323
1650421200000,22.243,21.986,23.6,20.906,22.216
1650421500000,22.253,22.072,23.409,20.979,22.296
1650421800000,22.376,22.186,23.453,21.073,22.331
1650422100000,22.506,22.39,23.5,21.203,22.426
1650422400000,22.593,22.47,23.583,21.213,22.479
1650422700000,22.733,22.48,23.666,21.306,22.496
1650423000000,22.775,22.503,23.727,21.236,22.516
1650423300000,22.893,22.54,23.819,21.286,22.536
1650423600000,22.963,22.566,23.828,21.339,22.593
1650423900000,22.969,22.526,23.858,21.339,22.593
1650424200000,22.679,22.28,23.71,21.165,22.473
1650424500000,22.506,22.162,23.6,20.866,22.51
1650424800000,22.368,22.113,23.462,20.875,22.585
1650425100000,22.51,22.23,23.396,21.036,22.593
1650425400000,22.749,22.353,23.476,21.253,22.756
1650425700000,22.803,22.513,23.58,21.453,22.843
1650426000000,22.873,22.54,23.696,21.65,22.963
1650426300000,22.986,22.643,23.69,21.71,23.033
1650426600000,22.956,22.656,23.783,21.71,23.106
1650426900000,23.016,22.723,23.793,21.819,23.18
1650427200000,23.026,22.746,23.849,21.793,23.196
1650427500000,22.936,22.63,23.949,21.893,23.126
1650427800000,22.766,22.613,23.81,21.996,23.016
1650428100000,22.636,22.57,23.74,22.023,23.1
1650428400000,22.426,22.54,23.533,22.073,23.15
1650428700000,22.546,22.666,23.456,22.08,23.233
1650429000000,22.759,22.616,23.573,22.299,23.326
1650429300000,22.951,22.79,23.748,22.283,23.353
1650429600000,23.116,22.87,23.829,22.344,23.336
1650429900000,23.173,22.873,23.873,22.365,23.366
1650430200000,23.256,22.956,23.949,22.506,23.329
1650430500000,23.163,23.069,24.03,22.47,23.376
1650430800000,23.076,22.872,24.076,22.651,23.393
