timestamp_ms,70886b12600d,70886b125400,70886b12621c,70886b1259c5,70886b125db1
1650416400000,18.936,19.357,18.531,19.732,19.129
1650416700000,18.902,19.328,18.717,19.556,19.304
1650417000000,18.881,19.522,18.855,19.499,19.629
1650417300000,19.147,19.996,18.999,19.843,19.774
1650417600000,19.404,20.186,19.187,20.211,19.87
1650417900000,19.508,20.271,19.291,20.518,19.999
1650418200000,19.607,20.499,19.367,20.756,20.071
1650418500000,19.64,20.57,19.373,20.893,20.134
1650418800000,19.6,20.715,19.387,20.951,20.187
1650419100000,19.646,20.783,19.423,21.087,20.248
1650419400000,19.693,20.914,19.47,21.082,20.287
1650419700000,19.74,20.953,19.495,21.127,20.339
1650420000000,19.748,20.922,19.526,21.207,20.436
1650420300000,19.864,21.052,19.595,21.293,20.521
1650420600000,19.943,21.196,19.685,21.58,20.634
1650420900000,19.997,21.346,19.751,21.853,20.769
1650421200000,20.033,21.492,19.796,21.909,20.907
1650421500000,20.033,21.512,19.826,21.895,20.865
1650421800000,19.988,21.451,19.844,21.826,20.867
1650422100000,19.972,21.366,19.851,21.769,20.793
1650422400000,20.026,21.298,19.862,21.804,20.809
1650422700000,20.027,21.361,19.893,21.76,20.859
1650423000000,20.062,21.366,19.896,21.837,20.871
1650423300000,20.065,21.362,19.909,21.848,20.885
1650423600000,20.074,21.393,19.926,21.822,20.892
1650423900000,20.18,21.437,19.999,21.847,20.928
1650424200000,20.241,21.639,20.09,22.051,21.082
1650424500000,20.214,21.767,20.155,22.33,21.088
1650424800000,20.246,21.869,20.191,22.376,21.047
1650425100000,20.163,21.821,20.201,22.269,21.055
1650425400000,20.133,21.747,20.168,22.077,20.902
1650425700000,20.142,21.654,20.156,21.965,20.838
1650426000000,20.173,21.671,20.172,21.791,20.742
1650426300000,20.211,21.599,20.187,21.788,20.705
1650426600000,20.269,21.573,20.192,21.774,20.67
1650426900000,20.241,21.567,20.19,21.705,20.613
1650427200000,20.293,21.504,20.189,21.684,20.593
1650427500000,20.476,21.572,20.193,21.601,20.685
1650427800000,20.453,21.632,20.26,21.592,20.803
1650428100000,20.448,21.68,20.302,21.6,20.756
1650428400000,20.507,21.714,20.337,21.584,20.726
1650428700000,20.385,21.709,20.323,21.58,20.637
1650429000000,20.378,21.632,20.283,21.499,20.555
1650429300000,20.336,21.505,20.249,21.443,20.537
1650429600000,20.31,21.432,20.206,21.422,20.555
1650429900000,20.283,21.397,20.202,21.387,20.532
1650430200000,20.274,21.323,20.173,21.361,20.566
1650430500000,20.367,21.233,20.144,21.328,20.545
1650430800000,20.515,21.267,20.168,21.281,20.521
1650431100000,20.541,21.283,20.193,21.281,20.535
1650431400000,20.534,21.285,20.209,21.283,20.504
1650431700000,20.563,21.267,20.183,21.27,20.493
1650432000000,20.514,21.189,20.206,21.254,20.489
1650432300000,20.397,21.158,20.19,21.161,20.448
1650432600000,20.465,21.062,20.143,21.076,20.429
1650432900000,20.454,21.026,20.11,21.015,20.404
1650433200000,20.465,21.052,20.101,21.009,20.382
1650433500000,20.439,21.026,20.101,21.015,20.371
1650433800000,20.522,21.002,20.093,21.019,20.385
1650434100000,20.459,20.98,20.123,21.012,20.393
1650434400000,20.402,20.984,20.092,20.97,20.38
1650434700000,20.347,20.98,20.104,21.015,20.354
1650435000000,20.348,20.996,20.079,21.025,20.361
1650435300000,20.464,21.011,20.084,20.995,20.349
1650435600000,20.476,20.992,20.088,20.999,20.377
1650435900000,20.445,20.971,20.06,21.002,20.344
1650436200000,20.43,20.971,20.063,21.008,20.336
1650436500000,20.34,21.015,20.012,20.974,20.333
1650436800000,20.31,21.014,20.004,20.977,20.329
1650437100000,20.369,21.036,20.009,21.009,20.312
1650437400000,20.4,21.009,19.994,21.012,20.319
1650437700000,20.437,20.966,19.996,21.018,20.329
1650438000000,20.344,21,20.032,20.994,20.317
1650438300000,20.274,21.051,19.99,20.917,20.291
1650438600000,20.288,21.034,19.994,20.868,20.321
1650438900000,20.064,20.918,19.725,20.831,20.357
1650439200000,20.069,20.837,19.735,20.774,20.271
1650439500000,20,20.778,19.625,20.723,19.976
1650439800000,19.85,20.557,19.365,20.817,19.596
1650440100000,19.581,20.28,19.25,20.625,19.152
1650440400000,19.251,20.072,19.036,20.425,18.862
1650440700000,19.201,19.883,18.901,20.364,18.632
1650441000000,19.114,19.704,18.738,20.179,18.456
1650441300000,19.115,19.577,18.585,20.042,18.286
1650441600000,18.955,19.442,18.403,19.916,18.158
1650441900000,18.616,19.268,18.138,19.546,18.084
1650442200000,18.687,19.209,18.15,19.397,18.485
1650442500000,18.617,19.299,18.602,19.316,18.846
1650442800000,18.817,19.378,18.563,19.391,18.937
1650443100000,19.002,19.448,18.577,19.511,18.791
