timestamp_ms,70886b12600d,70886b125400,70886b12621c,70886b1259c5,70886b125db1
1650416400000,88.2,88,89,88,88
1650416700000,88.9,88.166,89,88.066,88.3
1650417000000,89,88.533,89,88.466,88
1650417300000,89,88.466,89,88,88
1650417600000,88.966,88.266,89,88,88
1650417900000,88.933,88.333,89,88,88
1650418200000,88.933,88.2,89,88,88
1650418500000,89,88.206,89,88,88
1650418800000,89,88.166,89,88,88.033
1650419100000,89,88.133,89,88,88.275
1650419400000,89,88.033,89,88,88.766
1650419700000,89,88.2,89,88,89
1650420000000,89,88.3,89,88,88.866
1650420300000,89,88.3,89,88,88.533
1650420600000,89,88.066,89,88,88.7
1650420900000,88.433,88,89,88,88.1
1650421200000,88.033,88,89,88,88
1650421500000,88,88,89,88,88
1650421800000,88.233,88.033,89,88,88
1650422100000,88.9,88.3,89,88,88.666
1650422400000,88.933,88.7,89,88,88.866
1650422700000,89,88.733,89,88,88.966
1650423000000,89,88.8,89,88,88.966
1650423300000,89,88.766,89,88,88.966
1650423600000,89,88.9,89,88,89
1650423900000,89,88.7,89,88,88.933
1650424200000,89,88.1,89,88,88.6
1650424500000,88.866,88,89,88,88.866
1650424800000,88.206,88.034,89,88,89
1650425100000,88.9,88.166,89,88,89
1650425400000,89,88.2,89,88,89
1650425700000,89,88.633,89,88,89
1650426000000,89,88.666,89,88,89
1650426300000,89,88.933,89,88,89
1650426600000,89,88.933,89,88,89
1650426900000,89,88.966,89,88,89
1650427200000,89,89,89,88,89
1650427500000,89,88.933,89,88,89
1650427800000,88.966,88.793,89,88,89
1650428100000,88.933,88.8,89,88,89
1650428400000,88.433,88.666,89,88,89
1650428700000,88.933,88.7,89,88,89
1650429000000,89,88.8,89,88.166,89
1650429300000,89,88.966,89,88.1,89
1650429600000,89,89,89,88.275,89
1650429900000,89,89,89,88.206,89
1650430200000,89,89,89,88.517,89
1650430500000,89,89,89,88.433,89
1650430800000,89,89,89,88.862,89
1650431100000,89,89,89,88.586,89
1650431400000,89,89,89,88.733,89
1650431700000,89,89,89,88.866,89
1650432000000,89,89,89,88.9,89
1650432300000,89,89,89,89,89
1650432600000,89,89,89,88.931,89
1650432900000,89,89,89,89,89
1650433200000,89,89,89,89,89
1650433500000,89,89,89,89,89
1650433800000,89,89,89,89,89
1650434100000,89,89,89,88.966,89
1650434400000,89,89,89,89,89
1650434700000,89,89,89,89,89
1650435000000,89,89,89,89,89
1650435300000,89,89,89,89,89
1650435600000,89,89,89,89,89
1650435900000,89,89,89,89,89
1650436200000,89,89,89,89,89
1650436500000,89,89,89,89,89
1650436800000,89,89,89,89,89
1650437100000,89,89,89,89,89
1650437400000,89,89,89,89,89
1650437700000,89,89,89,89,89
1650438000000,89,89,89,88.966,89
1650438300000,89,89,89,89,89
1650438600000,89,89,89,89,89
1650438900000,89,89,89,89,89
1650439200000,89,88.9,89,88.966,89
1650439500000,89,88.033,89,88.034,88.333
1650439800000,88.4,88,89,88,88.066
1650440100000,88.3,88,89,88,88.966
1650440400000,89,88,89,88,89
1650440700000,89,88.5,89,88,89
1650441000000,89,89,89,88,89
1650441300000,89,89,89.068,88.9,89
1650441600000,89.166,89,89.2,89,89
1650441900000,90,89.4,89,89,89.033
1650442200000,90,90,89.166,89.033,90
1650442500000,90,89.7,90,89,90
1650442800000,89.633,89,90,89,89.333
1650443100000,89,89,89.866,89,89
1650443400000,89,89,89.066,88.7,89
1650443700000,89,89,89.666,89,89
1650444000000,89,89,89.133,89,88.2
1650444300000,89,89,88.931,89,88
1650444600000,89,89,88.466,89,88
1650444900000,89,89,88,89,87.633
1650445200000,89,89.3,88.033,89,87.2
1650445500000,88.766,90,87.766,89.733,87.633
1650445800000,88.133,90,88.733,90,88.166
