timestamp_ms,70886b12600d,70886b125400,70886b12621c,70886b1259c5,70886b125db1
1650416400000,415.566,410.1,427.366,418.333,426.266
1650416700000,420.3,409.466,428.633,417.933,429.533
1650417000000,420,409.5,426.379,418.233,431.933
1650417300000,421.133,411.6,426.133,426.8,428.966
1650417600000,419.833,414.733,424.733,427.333,427.5
1650417900000,418.333,419.666,429.233,422.5,430.866
1650418200000,422.266,419.166,429.266,421.551,436.482
1650418500000,421.433,414.344,427.933,424.4,436.866
1650418800000,423.433,415.733,430.566,424.8,433.466
1650419100000,426.333,417.966,433.2,425.933,438.482
1650419400000,425.966,418.2,436.9,431.733,435.433
1650419700000,428.433,419.933,434.862,435.1,442.333
1650420000000,429.62,419.1,438.133,433.733,441.633
1650420300000,429.333,419.733,440.466,437.766,442.866
1650420600000,429.066,421.066,443.133,435.366,440.833
1650420900000,427.633,421.8,443.3,434.7,441.866
1650421200000,429.333,424.3,439.7,437.103,438.666
1650421500000,429.666,423.62,439.133,436.833,441
1650421800000,429.166,430.566,438.966,434.766,436.724
1650422100000,432.433,427.266,437.833,431.1,441.533
1650422400000,431.4,425,437.533,429.6,435.033
1650422700000,426.333,422.333,434.833,434.166,436.833
1650423000000,428.689,423.9,435.206,436.166,439.866
1650423300000,432.666,420.966,436.5,434.7,441.233
1650423600000,431.333,421.333,437.285,434.333,439.033
1650423900000,428.366,424.5,438.31,436.2,437.933
1650424200000,428.931,423.7,439.066,435.827,440.9
1650424500000,429.5,422.137,437.366,436.933,441.133
1650424800000,429.413,418.241,436.827,437.896,438.785
1650425100000,428.6,421.5,436.1,437.033,439.5
1650425400000,426.366,422.3,435.233,434.066,442.6
1650425700000,428.266,424.966,435.433,432.466,444.4
1650426000000,426.766,425.533,435.068,430.866,439.6
1650426300000,428.206,425.566,434.333,431.933,435.066
1650426600000,429.5,425.2,436.1,431.7,439.7
1650426900000,427.7,423.233,436.666,432.4,437.733
1650427200000,425.633,423.566,434.533,432.172,434
1650427500000,426.1,428.033,436,430.766,437.266
1650427800000,427.233,424.206,437.6,430.9,436.466
1650428100000,431.166,422.733,438.8,429.833,440.862
1650428400000,431.7,422.8,435.7,432.566,444
1650428700000,430.166,423.5,432.5,434.533,441.266
1650429000000,429.8,427.233,432.866,431.9,437.466
1650429300000,432.068,426.366,433.586,430.833,441.033
1650429600000,428.4,419.566,431.833,428.172,440.566
1650429900000,428.933,421.933,434.166,427.655,439.6
1650430200000,428.2,423.133,432.433,426.206,443.3
1650430500000,428,422.133,431.566,426.4,443.133
1650430800000,428.533,422.758,432.133,428.862,438.066
1650431100000,428.966,417.366,436.7,428.517,441.275
1650431400000,429.2,415.6,435.2,429.933,446.733
1650431700000,426.466,418.333,433.966,427,443.466
1650432000000,429.413,419.448,434,427.066,440.733
1650432300000,431.2,422.62,432.689,428.533,438.733
1650432600000,429.733,420.793,430.793,428.724,438.62
1650432900000,430.133,417.333,435.033,428,439.5
1650433200000,427.4,418.566,435.866,428.633,436.066
1650433500000,426.5,418.586,431.1,429.206,433.1
1650433800000,428.166,415.3,429.966,428.766,436.5
1650434100000,428.666,411.533,432,425.5,430.517
1650434400000,426.566,410.733,432.433,425.233,433.44
1650434700000,427,410.066,434.8,423.5,435.1
1650435000000,425.733,412.866,436.3,423.433,434.233
1650435300000,426.103,417.333,434.31,422.1,435.655
1650435600000,426.633,415.633,432.066,424.633,432.666
1650435900000,427.366,411.966,429.1,423.133,434.433
1650436200000,428,416.333,431.4,422.3,432.066
1650436500000,428.3,417.066,431.2,421.586,435.166
1650436800000,426.633,414.862,431.1,424.033,432.633
1650437100000,428.3,413.3,432.966,423.766,433.724
1650437400000,427.133,410.666,433.133,423.6,433.033
1650437700000,428.733,413.233,430.333,423.433,430.233
1650438000000,425.733,408.633,429.413,420.333,430.466
1650438300000,424.793,409.3,429.866,421,431.2
1650438600000,427.566,409.833,431.633,420.933,431.9
1650438900000,425.233,409.133,432.8,421.566,430.766
1650439200000,424,409.133,433.866,422.466,431.366
1650439500000,425.1,411.366,432.2,420.068,433.9
1650439800000,426.733,408.275,432.666,422.1,432.333
1650440100000,423.5,405.466,432.233,419.066,431.5
1650440400000,418,406.733,434.6,414.633,432.896
1650440700000,420.133,405.2,429.066,414.4,431.333
1650441000000,423.333,407.366,429.1,419.333,431.633
1650441300000,425.896,411.333,427.896,423.2,434.6
1650441600000,430.066,411.3,430.1,424.166,445.466
1650441900000,432.133,411.866,434.166,426.2,449.066
1650442200000,432.666,415.333,434.4,426.9,444.466
1650442500000,432.033,418.933,433.566,423.9,448.266
1650442800000,432.633,423.862,436.4,423.827,450.6
1650443100000,432.1,429.433,436.566,424.966,450.766
1650443400000,435.6,431.866,436.933,426,448.724
1650443700000,435.3,428.433,438.433,424.3,449.5
1650444000000,435.8,429.266,438.733,426.466,453.366
1650444300000,432.366,432.9,437.551,426.966,454.766
1650444600000,431.931,433.966,439.4,426.8,452.233
1650444900000,430.366,432.8,439.866,425.3,450.7
1650445200000,432.5,434.666,435.333,424.7,452.066
1650445500000,435.333,437.866,437.933,428.633,452.766
1650445800000,436.7,439.4,443.6,433.137,448.4
1650446100000,434.3,437.689,447.866,430.233,453.366
1650446400000,434.9,438.9,446.366,426.733,450.793
1650446700000,435.9,440.5,445.766,430.576,452.466
1650447000000,436.166,442.7,446.633,430.533,448.533
1650447300000,436.517,441.233,445.2,430.896,448.666
1650447600000,438.1,440.166,442.62,433.8,452
1650447900000,435.533,442.733,440.666,434.166,448.366
1650448200000,439.466,446.068,442.3,433.466,449.333
1650448500000,442.666,443.433,446.566,436.517,455.033
1650448800000,445.033,442.833,448.166,435.3,454.133
1650449100000,443.8,443.103,449.066,435.366,453.266
1650449400000,442.133,441.766,447.566,435.9,454.066
1650449700000,438.1,440.666,449.1,437.2,452.344
1650450000000,441.633,439.933,446.8,435.1,447.666
1650450300000,438.413,439.566,445.6,434.033,449.933
1650450600000,438.3,441.933,445.413,434.866,446.9
1650450900000,439.566,442.066,443.8,435.133,448.535
1650451200000,442.133,441.9,447,433.266,449.379
1650451500000,441.066,440.433,449.466,433.766,450.466
1650451800000,441.066,445.533,448.933,440.275,447.4
1650452100000,440.866,450.62,451.933,444.6,454.333
1650452400000,440.733,449.866,455.266,448.066,455.766
1650452700000,440.833,452.333,453.166,446.833,454.965
1650453000000,442.366,454.4,450.933,446.333,454.066
1650453300000,447.379,450.333,452.233,444.933,454.866
1650453600000,451.2,449.9,453.31,443.3,461.566
1650453900000,455.666,451.033,457.933,442.933,456.533
1650454200000,452.866,451.666,459.066,444.833,457.066
1650454500000,451.266,452.566,460.366,446.533,456.566
1650454800000,449.931,451.793,459.8,446.275,460.633
1650455100000,452.8,451.333,459.689,444.066,460.9
1650455400000,454.533,454.933,457.103,444.4,459.034
1650455700000,452.1,452.266,455.933,445.066,458.866
1650456000000,446.766,455,455.933,445.133,456.4
1650456300000,446.066,454.6,453.833,445,454.266
1650456600000,443.206,452.366,449.172,446.066,449.066
1650456900000,444,455.266,448.766,446,449.033
1650457200000,440.833,453.366,450.366,445.033,449.9
1650457500000,437.633,453.033,451.133,444.933,449.566
1650457800000,438.966,453.366,448.4,447.137,449.6
1650458100000,443.266,451.965,449.666,445.333,451.666
1650458400000,443.4,450.233,448.4,443.3,447.931
1650458700000,443.366,451.333,447.266,444.4,452.333
1650459000000,443.4,447.466,448.433,444.133,455.2
1650459300000,449.566,450.8,448.5,442.833,452.133
1650459600000,447.642,452.379,449.785,441.344,451.655
1650459900000,444.766,454.133,454.3,444.866,457.366
1650460200000,449.733,458.7,452.566,447.8,460.066
1650460500000,454.333,466,459.366,452.7,467.566
1650460800000,455.566,471.133,462.266,456.466,465.9
1650461100000,459.633,477.31,464.466,461.758,470.1
1650461400000,465.6,483.166,466.7,466.233,477.4
1650461700000,471.966,482.833,468.433,470.033,476.379
1650462000000,479.366,491.366,476.933,473.2,479.433
1650462300000,483.137,494.866,479.3,475.2,485.7
1650462600000,485.666,493.666,481.517,482.533,483.133
1650462900000,488.8,497.733,493.366,497.379,497.866
1650463200000,500.566,534.666,523.4,536.482,519.9
1650463500000,528.633,591.833,573.366,586.9,547.7
1650463800000,564.833,640.6,619.033,628.866,600.033
1650464100000,595.066,687.222,648.133,662.172,661.833
1650464400000,615.966,739.066,687.766,703.9,706.833
1650464700000,637.766,780.5,711.1,743.7,726.517
1650465000000,707.4,820.466,746.533,788.933,756.533
1650465300000,774.966,854.9,761.1,818.9,802.1
1650465600000,821.931,889.6,811.533,846.633,835.266
1650465900000,852.7,918.666,856.862,871.3,865.3
1650466200000,877.033,931.233,888.6,900.866,901.166
1650466500000,876.633,887.233,869.1,864.066,884.9
1650466800000,875.066,862.233,853.866,825.448,872.7
1650467100000,869.793,859.466,849.633,819.266,863.692
1650467400000,837.766,881.482,843.633,847.8,865.9
1650467700000,789.133,893.3,835.666,849.8,874.827
1650468000000,772.7,901.933,837.466,852.333,874.566
1650468300000,784.066,921.133,842.9,863.466,876.333
1650468600000,837.586,936.233,856.31,876.533,883.5
1650468900000,875.8,936.533,861.2,877.7,891.233
1650469200000,902.266,921.233,866.3,866.566,864.2
1650469500000,884.866,821.466,834.866,800.533,649.7
1650469800000,737.633,712.133,772.1,696.033,542.666
1650470100000,619.733,670.766,693.533,636.655,530.433
1650470400000,612.866,652.793,685.366,638.433,515.833
1650470700000,635.9,696.766,699.9,686.8,575.266
1650471000000,685.2,775.733,730.133,745.2,652.931
1650471300000,744.466,850,768.4,819.3,696.233
1650471600000,746.482,878.966,787.827,856.033,620.3
1650471900000,727.666,829.2,803.366,786.8,545.866
