timestamp_ms,70886b12600d,70886b125400,70886b12621c,70886b1259c5,70886b125db1
1650416400000,51.333,38.9,71.366,48.633,51.1
1650416700000,58.333,40.566,75.3,53.5,58.566
1650417000000,56.862,45,84.448,56.9,62.4
1650417300000,64.466,56,81.066,65.866,65.066
1650417600000,65.5,58.866,81.966,62.766,67.833
1650417900000,66.033,108.966,81.466,63.3,72.7
1650418200000,70.133,66.566,82.8,67.758,74.344
1650418500000,74.566,70.068,86.7,67.833,74.566
1650418800000,78.2,72.033,89.533,71.4,78.2
1650419100000,82.433,74.266,92.066,74.333,80
1650419400000,84.733,75.2,94.566,78.466,82.533
1650419700000,84.333,78.666,97.172,77.7,83.9
1650420000000,85.517,78.533,98.866,81.366,90.166
1650420300000,88,83.366,101,81.966,129.033
1650420600000,83.133,85.4,103.4,82.766,90.466
1650420900000,79.8,86.6,102.333,82.866,90.366
1650421200000,86.5,86.466,100.733,85.482,87.966
1650421500000,86.5,88.448,97.566,87.6,90.9
1650421800000,83.5,89.833,99.933,87.833,90.344
1650422100000,84.833,91.533,101.8,87.733,92.4
1650422400000,85.866,91.033,103.2,90.466,94.266
1650422700000,88.666,92.666,104.4,91.066,91.566
1650423000000,88.689,92.466,105.724,91.1,94.866
1650423300000,92.766,94.533,105.966,92.466,94.133
1650423600000,91.7,97.4,106.928,93.8,93.666
1650423900000,93.866,96.966,109.551,95.266,97.2
1650424200000,81.586,96.866,108.466,95.793,94.066
1650424500000,74.733,96.172,103.1,95.8,94.1
1650424800000,72.517,98.068,96.896,97.241,90.964
1650425100000,72.666,97.2,93.833,98.733,93.233
1650425400000,79.866,97.3,94.5,98.233,92.366
1650425700000,80.866,100.333,96.5,98.466,91.2
1650426000000,83.966,101.733,100.586,100.6,92.2
1650426300000,89.206,99.866,102.366,99,91.133
1650426600000,91.2,99.8,104.6,96.766,91.566
1650426900000,92.4,100.366,106.166,98.133,91.666
1650427200000,91.8,99.866,107.3,96.517,89.166
1650427500000,90.833,98.966,109.4,98.033,91.8
1650427800000,97.1,99.931,110.566,99.233,93
1650428100000,97.966,100.333,112.133,98.2,93.31
1650428400000,87.066,100.366,109.8,99.433,94.166
1650428700000,83.7,104.333,104.066,100.7,92.533
1650429000000,87.366,100.766,103.433,100.733,92.8
1650429300000,90.103,101.4,106.137,99.366,93.366
1650429600000,92.133,100.233,107.666,100.689,93.633
1650429900000,92.033,98.366,108.033,100.586,91.966
1650430200000,92.7,98.666,108.466,101.31,92.666
1650430500000,90.933,97.766,109.7,101.166,92.7
1650430800000,93.866,96.413,111.333,102.172,93.566
1650431100000,94,98.7,112.166,100.137,92.931
1650431400000,84.8,95.2,110.166,101.233,93.433
1650431700000,79.566,99.3,105.733,100.6,92.066
1650432000000,77.827,99.896,99.833,102.766,92.533
1650432300000,80.966,98.965,95.793,104.933,92.366
1650432600000,84.4,94.896,96.551,109.62,90.31
1650432900000,83.666,99.2,99.733,104.066,88.666
1650433200000,84.566,96.366,99.533,103.433,92.266
1650433500000,87.9,96.517,99.1,105.31,92.833
1650433800000,93.666,96.933,98.8,106.066,92.4
1650434100000,95.266,96.233,99.433,104.5,88.517
1650434400000,96.2,93.933,100.3,102.233,87.12
1650434700000,81.233,91.333,99,100.266,89.733
1650435000000,74.833,93.233,95.233,99.8,89.766
1650435300000,75.827,93.766,90.517,102.066,89.206
1650435600000,74.7,92.9,89.733,99.733,89.1
