timestamp_ms,70886b12600d,70886b125400,70886b12621c,70886b1259c5,70886b125db1
1649806800000,93,94,91,94,90.866
1649807100000,93,94,91,94.033,91.1
1649807400000,93.033,94,91,94.1,91.966
1649807700000,93.533,94,91,94,92
1649808000000,93.233,94,91,94.066,92
1649808300000,93.266,94,91,94.133,92.466
1649808600000,93.533,94.033,91.466,94.366,92.866
1649808900000,94,94.966,92,94.862,92.966
1649809200000,94.066,95,92,95,93
1649809500000,93.866,95,92,95,93
1649809800000,93.896,95,92,95,93.466
1649810100000,94.1,95,92,95,93.966
1649810400000,94.4,95,92.033,95,94
1649810700000,93.933,95,92,95.133,94
1649811000000,93.666,95,92,95.6,94
1649811300000,93.933,95.066,92,95.413,94
1649811600000,93.533,95,92,95.931,93.866
1649811900000,92.533,94.533,91.833,94.62,92.7
1649812200000,93,94.586,92,94.586,93.931
1649812500000,93,95.633,92.066,95.766,94.3
1649812800000,93.866,96,92.933,96,95.266
1649813100000,94.793,96,93.666,96,96.4
1649813400000,95.133,96,94.233,96,97
1649813700000,95.366,96,94.6,96,97.466
1649814000000,96,96,94.931,96.166,97.7
1649814300000,96,96,95,96.766,98
1649814600000,96,96,95.033,96.433,97.733
1649814900000,96,96,95.033,96,97.666
1649815200000,96,96,95.033,96,97.933
1649815500000,96,96,95.4,96,98
1649815800000,96.896,96,96,96,98
1649816100000,97,96.592,96,96,98
1649816400000,97,97,96,96.034,98
1649816700000,97,97,96,96.266,98
1649817000000,97,97,96,96.766,98
1649817300000,97,97,96,96.966,98
1649817600000,97,97,96,97,98.033
1649817900000,97,97,96,97,98.033
1649818200000,97,97,96,97,98.166
1649818500000,97,97,96,96.833,98.033
1649818800000,96.896,97,96,96.3,98
1649819100000,96.833,97,96,96.333,98.166
1649819400000,97,97,96,96.666,98.5
1649819700000,97,97,96,96.966,98.466
1649820000000,97,97,96,96.966,98.933
1649820300000,97,97,96,97,98.931
1649820600000,97,97,96,97,98.965
1649820900000,97,97,96,97,99
1649821200000,97,97,96,97,99
1649821500000,97,97,96,97,99
1649821800000,97,97,96,97,99
1649822100000,97,97,96,97,99
1649822400000,96.933,97,96,97,99
1649822700000,97,97,96,96.933,99
1649823000000,97,97,96,96.866,99
1649823300000,97,97,96,96.966,99
1649823600000,96.733,97,96,96.7,99
1649823900000,96.933,97,96,97,99
1649824200000,97,97,96,97,99
1649824500000,97,97,96,97,99
1649824800000,97,97,96,97,99
1649825100000,97,97,96.233,97,99
1649825400000,97.333,97,96,97,99
1649825700000,97.333,97,96,97,99
1649826000000,97.1,97,96,97,99
1649826300000,97,97,96.066,97,99
1649826600000,97,97,96.166,97,99
1649826900000,97,97,96.833,97,99
1649827200000,97.033,97,97,97,99
1649827500000,97.166,97,97,97,99
1649827800000,97.566,97,97,97,99
1649828100000,97.807,97,97,97.033,99
1649828400000,97.827,97.275,97,97.466,99
1649828700000,97.966,97.733,97,97.833,99
1649829000000,98,98,97,98,99
1649829300000,98,98,97,98,99
1649829600000,98,98,97,97.966,99.266
1649829900000,98,98,97,97.966,99.066
1649830200000,98,98,97,97.931,99.166
1649830500000,98,98,97.033,97.866,99
1649830800000,98,98,97.1,97.966,99
1649831100000,98,98,97.933,97.866,99
1649831400000,98,98,98,98,99.133
1649831700000,98,98,97.966,98,99.966
1649832000000,98,98,97.965,98,100
1649832300000,98,98,98,98,100
1649832600000,98.1,98,98,98,100
1649832900000,98.166,98,98,98,100
1649833200000,98.2,98,98,98,100
1649833500000,97.2,98,97.766,98.033,100
1649833800000,96.166,97.366,97,97.566,100
1649834100000,96.466,97,97.133,96.833,100
1649834400000,96.551,97,97.466,96.166,100
1649834700000,97.066,97,97.433,97.433,100
1649835000000,98.033,97,98.1,98.3,100
1649835300000,98.8,97.733,99,98.966,100
1649835600000,99.066,98.166,99.733,99,100
1649835900000,99.8,99,100,99,100
1649836200000,99.833,99,99.2,99,99.966
1649836500000,99.8,99,99,99,99.233
1649836800000,99.833,99,99,99,99
1649837100000,100,99,99.2,99,99
1649837400000,100,99.233,99.9,99.066,98.766
1649837700000,100,99.965,100,99.366,98.066
1649838000000,100,99.966,100,99.172,96.9
1649838300000,100,99.966,99.966,99.366,96.033
1649838600000,100,99.933,99.033,99.3,95.965
1649838900000,100,100,98.9,99.4,95.2
1649839200000,100,99.9,98.166,99.1,95
1649839500000,98.433,99.866,97.266,99.31,95.1
1649839800000,96.933,99.7,95.8,99.133,94.133
1649840100000,97.533,99.233,95.733,99,94
1649840400000,98.931,99.366,97.433,99.033,96.1
1649840700000,99,99.931,98.966,99.6,96.233
1649841000000,99,100,99,99.866,95.5
1649841300000,99,100,99,99.916,94.833
