timestamp_ms,70886b1235d7,70886b125971,70886b123735
1649057068622.0002,23.327,19.596,25.889
1649057368622.0002,23.346,19.663,25.886
1649057668622.0002,23.309,20.15,25.896
1649057968622.0002,23.333,20.023,25.876
1649058268622.0002,23.356,19.966,25.886
1649058568622.0002,23.349,19.843,25.856
1649058868622.0002,23.366,19.8,25.866
1649059168622.0002,23.379,19.66,25.829
1649059468622.0002,23.393,19.59,25.776
1649059768622.0002,23.403,19.59,25.769
1649060068622.0002,23.406,19.613,25.868
1649060368622.0002,23.456,19.64,25.869
1649060668622.0002,23.459,19.631,25.903
1649060968622.0002,23.496,19.61,25.879
1649061268622.0002,23.479,19.719,25.869
1649061568622.0002,23.469,19.723,25.843
1649061868622.0002,23.443,19.833,25.879
1649062168622.0002,23.466,19.723,25.859
1649062468622.0002,23.49,19.813,25.823
1649062768622.0002,23.506,19.893,25.783
1649063068622.0002,23.517,19.986,25.783
1649063368622.0002,23.479,20.05,25.793
1649063668622.0002,23.513,20.134,25.796
1649063968622.0002,23.543,20.326,25.806
1649064268622.0002,23.516,20.393,25.826
1649064568622.0002,23.556,20.183,25.863
1649064868622.0002,23.576,20.163,25.866
1649065168622.0002,23.506,20.306,25.876
1649065468622.0002,23.53,20.256,25.899
1649065768622.0002,23.603,20.263,25.889
1649066068622.0002,23.616,20.385,25.886
1649066368622.0002,23.593,20.363,25.717
1649066668622.0002,23.665,20.428,24.751
1649066968622.0002,24.006,20.229,24.426
1649067268622.0002,24.15,20.283,24.263
1649067568622.0002,24.323,20.426,24.096
1649067868622.0002,23.673,20.376,24.046
1649068168622.0002,23.446,20.54,23.963
1649068468622.0002,23.023,20.516,23.923
1649068768622.0002,22.413,20.766,23.856
1649069068622.0002,22.156,20.77,23.819
1649069368622.0002,22.306,20.839,23.81
1649069668622.0002,22.55,21.703,23.799
1649069968622.0002,22.666,21.741,23.72
1649070268622.0002,22.663,21.519,23.64
1649070568622.0002,22.766,21.306,23.596
1649070868622.0002,22.98,21.3,23.563
1649071168622.0002,23.16,21.399,23.513
1649071468622.0002,23.333,21.503,23.55
1649071768622.0002,23.26,21.593,23.556
1649072068622.0002,22.813,21.663,23.586
1649072368622.0002,22.6,21.673,23.52
1649072668622.0002,22.393,21.783,23.54
1649072968622.0002,22.423,21.913,23.5
1649073268622.0002,22.47,21.993,23.526
1649073568622.0002,22.496,21.986,23.583
1649073868622.0002,22.396,21.916,23.596
1649074168622.0002,22.553,21.883,23.523
1649074468622.0002,22.68,21.846,23.473
1649074768622.0002,22.816,21.753,23.537
1649075068622.0002,22.926,21.693,23.576
1649075368622.0002,23.016,21.496,23.544
1649075668622.0002,23.057,21.333,23.446
1649075968622.0002,23.168,21.586,23.396
1649076268622.0002,23.086,21.596,23.439
1649076568622.0002,22.18,21.736,23.453
1649076868622.0002,22.19,21.653,23.389
1649077168622.0002,22.19,21.796,23.396
1649077468622.0002,22.226,21.57,23.413
1649077768622.0002,22.136,21.419,23.399
1649078068622.0002,22.443,21.59,23.383
1649078368622.0002,22.566,21.656,23.353
1649078668622.0002,22.686,21.53,23.203
1649078968622.0002,22.816,21.71,23.25
1649079268622.0002,22.899,21.583,23.2
1649079568622.0002,22.666,21.856,23.186
1649079868622.0002,21.906,22.365,23.137
1649080168622.0002,21.373,22.52,23.166
1649080468622.0002,21.756,22.549,23.176
1649080768622.0002,21.873,22.206,23.146
1649081068622.0002,21.97,22.526,23.13
1649081368622.0002,22.303,22.453,23.123
1649081668622.0002,22.456,22.393,23.148
1649081968622.0002,22.586,22.755,23.166
1649082268622.0002,22.646,22.436,23.083
1649082568622.0002,22.779,22.523,23.053
1649082868622.0002,22.69,22.153,23.143
1649083168622.0002,22.326,21.986,23.113
1649083468622.0002,21.376,22.32,22.993
1649083768622.0002,20.89,22.216,23.013
1649084068622.0002,21.063,22.29,23
1649084368622.0002,21.179,22.093,22.919
1649084668622.0002,21.533,22.499,22.982
1649084968622.0002,21.627,23.175,22.79
1649085268622.0002,21.699,23.043,22.74
1649085568622.0002,21.733,22.756,22.716
1649085868622.0002,21.753,22.689,22.499
1649086168622.0002,21.899,22.786,22.479
1649086468622.0002,21.985,22.986,22.443
1649086768622.0002,21.979,23.063,22.409
1649087068622.0002,22.003,23.061,22.33
1649087368622.0002,22.01,23.043,22.23
1649087668622.0002,21.976,22.759,21.963
1649087968622.0002,21.962,22.553,21.827
1649088268622.0002,21.753,22.793,21.983
1649088568622.0002,21.153,22.24,22.113
1649088868622.0002,20.64,22.1,22.383
1649089168622.0002,20.509,21.893,22.956
1649089468622.0002,20.476,21.73,23.25
1649089768622.0002,20.786,22.073,23.58
1649090068622.0002,20.966,22.006,24.073
1649090368622.0002,21.083,21.916,24.076
1649090668622.0002,21.153,21.973,24.389
1649090968622.0002,21.134,21.82,24.444
1649091268622.0002,21.09,22.031,24.063
1649091568622.0002,21.056,22.049,23.499
1649091868622.0002,21.103,21.879,23.23
1649092168622.0002,21.076,21.696,23.016
1649092468622.0002,21.216,21.653,22.803
1649092768622.0002,21.399,21.336,22.703
1649093068622.0002,21.506,21.163,22.603
1649093368622.0002,21.513,21.333,22.529
1649093668622.0002,21.516,21.206,22.49
1649093968622.0002,21.482,20.99,22.469
1649094268622.0002,21.51,21.334,22.479
1649094568622.0002,21.576,21.21,22.393
1649094868622.0002,21.58,21.393,22.383
1649095168622.0002,21.606,21.086,22.446
1649095468622.0002,21.663,21.186,22.376
1649095768622.0002,21.56,21.006,22.389
1649096068622.0002,21.323,20.94,22.323
1649096368622.0002,20.816,20.986,22.469
