timestamp_ms,70886b1235d7,70886b125971,70886b123735
1649057068622.0002,21.621,21.26,22.204
1649057368622.0002,21.607,21.38,22.203
1649057668622.0002,21.615,21.471,22.201
1649057968622.0002,21.593,21.383,22.188
1649058268622.0002,21.575,21.293,22.191
1649058568622.0002,21.575,21.3,22.194
1649058868622.0002,21.556,21.267,22.192
1649059168622.0002,21.552,21.355,22.191
1649059468622.0002,21.519,21.397,22.18
1649059768622.0002,21.511,21.399,22.174
1649060068622.0002,21.498,21.383,22.178
1649060368622.0002,21.475,21.374,22.176
1649060668622.0002,21.455,21.42,22.177
1649060968622.0002,21.437,21.555,22.17
1649061268622.0002,21.436,21.58,22.17
1649061568622.0002,21.417,21.549,22.158
1649061868622.0002,21.426,21.378,22.156
1649062168622.0002,21.4,21.47,22.154
1649062468622.0002,21.381,21.487,22.147
1649062768622.0002,21.366,21.428,22.152
1649063068622.0002,21.342,21.417,22.149
1649063368622.0002,21.361,21.328,22.149
1649063668622.0002,21.33,21.274,22.139
1649063968622.0002,21.309,21.194,22.14
1649064268622.0002,21.303,21.095,22.125
1649064568622.0002,21.282,21.274,22.115
1649064868622.0002,21.252,21.262,22.112
1649065168622.0002,21.273,21.131,22.111
1649065468622.0002,21.254,21.16,22.107
1649065768622.0002,21.224,21.019,22.11
1649066068622.0002,21.205,20.949,22.095
1649066368622.0002,21.204,20.983,22.118
1649066668622.0002,21.17,20.946,22.363
1649066968622.0002,20.956,21.109,22.48
1649067268622.0002,20.8,21.054,22.47
1649067568622.0002,20.644,20.884,22.475
1649067868622.0002,21.008,21.035,22.44
1649068168622.0002,21.178,21.032,22.418
1649068468622.0002,21.364,21.205,22.397
1649068768622.0002,21.545,20.965,22.381
1649069068622.0002,21.708,20.941,22.371
1649069368622.0002,21.667,20.938,22.332
1649069668622.0002,21.583,20.956,22.288
1649069968622.0002,21.547,20.893,22.296
1649070268622.0002,21.51,20.839,22.256
1649070568622.0002,21.36,20.815,22.229
1649070868622.0002,21.156,20.766,22.206
1649071168622.0002,20.992,20.766,22.184
1649071468622.0002,20.834,20.786,22.113
1649071768622.0002,20.809,20.754,22.067
1649072068622.0002,21.12,20.793,22.009
1649072368622.0002,21.335,20.818,22.026
1649072668622.0002,21.538,20.747,21.978
1649072968622.0002,21.569,20.726,21.982
1649073268622.0002,21.558,20.681,21.969
1649073568622.0002,21.559,20.698,21.915
1649073868622.0002,21.564,20.785,21.903
1649074168622.0002,21.414,20.791,21.97
1649074468622.0002,21.289,20.833,22.008
1649074768622.0002,21.173,20.883,21.97
1649075068622.0002,21.071,20.938,21.942
1649075368622.0002,20.988,20.998,21.939
1649075668622.0002,20.907,20.998,21.986
1649075968622.0002,20.764,20.807,22.017
1649076268622.0002,20.804,20.789,21.988
1649076568622.0002,21.533,20.738,21.979
1649076868622.0002,21.569,20.823,22.021
1649077168622.0002,21.638,20.823,22.015
1649077468622.0002,21.63,21.04,21.985
1649077768622.0002,21.621,21.093,21.968
1649078068622.0002,21.386,20.994,21.957
1649078368622.0002,21.23,21.022,21.978
1649078668622.0002,21.139,21.182,22.075
1649078968622.0002,20.998,21.188,22.027
1649079268622.0002,20.895,21.267,22.072
1649079568622.0002,21.021,21.289,22.078
1649079868622.0002,21.543,21.164,22.077
1649080168622.0002,21.949,21.152,22.049
1649080468622.0002,21.8,20.964,22.036
1649080768622.0002,21.735,20.975,22.055
1649081068622.0002,21.634,20.775,22.069
1649081368622.0002,21.417,21.096,22.066
1649081668622.0002,21.279,21.242,22.056
1649081968622.0002,21.176,21.158,22.037
1649082268622.0002,21.077,21.208,22.109
1649082568622.0002,20.92,21.218,22.131
1649082868622.0002,20.904,21.346,22.052
1649083168622.0002,21.189,21.185,22.057
1649083468622.0002,21.809,21.147,22.139
1649083768622.0002,22.155,21.134,22.113
1649084068622.0002,22.181,20.837,22.11
1649084368622.0002,22.19,20.97,22.144
1649084668622.0002,21.927,21.037,22.134
1649084968622.0002,21.88,21.131,22.337
1649085268622.0002,21.824,21.09,22.467
1649085568622.0002,21.804,21.172,22.674
1649085868622.0002,21.777,21.202,22.917
1649086168622.0002,21.722,21.216,23.023
1649086468622.0002,21.656,21.235,23.133
1649086768622.0002,21.647,21.284,23.195
1649087068622.0002,21.647,21.253,23.331
1649087368622.0002,21.621,21.221,23.351
1649087668622.0002,21.518,21.22,23.469
1649087968622.0002,21.436,21.353,23.488
1649088268622.0002,21.526,21.298,23.409
1649088568622.0002,21.993,21.331,23.316
1649088868622.0002,22.363,21.329,23.316
1649089168622.0002,22.525,21.359,23.575
1649089468622.0002,22.651,21.497,23.869
1649089768622.0002,22.432,21.398,23.999
1649090068622.0002,22.29,21.41,23.967
1649090368622.0002,22.23,21.483,24.167
1649090668622.0002,22.169,21.488,24.055
1649090968622.0002,22.157,21.425,24.189
1649091268622.0002,22.159,21.489,24.053
1649091568622.0002,22.159,21.47,23.859
1649091868622.0002,22.081,21.472,23.736
1649092168622.0002,22.024,21.653,23.65
1649092468622.0002,21.868,21.567,23.742
1649092768622.0002,21.745,21.6,23.768
1649093068622.0002,21.684,21.78,23.806
1649093368622.0002,21.696,21.798,23.843
1649093668622.0002,21.696,21.746,23.806
1649093968622.0002,21.673,21.747,23.752
1649094268622.0002,21.635,21.652,23.737
1649094568622.0002,21.591,21.72,23.767
1649094868622.0002,21.594,21.493,23.754
1649095168622.0002,21.543,21.471,23.692
1649095468622.0002,21.455,21.381,23.745
1649095768622.0002,21.515,21.459,23.708
1649096068622.0002,21.705,21.456,23.738
1649096368622.0002,22.077,21.478,23.627
1649096668622.0002,22.231,21.37,23.643
1649096968622.0002,22.556,21.425,23.697
1649097268622.0002,22.793,21.541,23.624
1649097568622.0002,22.761,21.559,23.566
1649097868622.0002,22.625,21.429,23.574
1649098168622.0002,22.528,21.414,23.571
1649098468622.0002,22.487,21.462,23.599
1649098768622.0002,22.461,21.447,23.621
1649099068622.0002,22.522,21.49,23.616
1649099368622.0002,22.468,21.576,23.645
1649099668622.0002,22.487,21.478,23.618
