timestamp_ms,70886b1235d7,70886b125971,70886b123735
1649057068622.0002,88,88,86
1649057368622.0002,88,87.966,86
1649057668622.0002,88,88,86
1649057968622.0002,88,88,85.866
1649058268622.0002,88,88,86
1649058568622.0002,88,88,85.966
1649058868622.0002,88,88,86
1649059168622.0002,88,88,86
1649059468622.0002,88,88,86
1649059768622.0002,88,88,86
1649060068622.0002,88,87.966,86
1649060368622.0002,88,88,86
1649060668622.0002,88,88,86
1649060968622.0002,88,88,86
1649061268622.0002,88,88,86
1649061568622.0002,88,88,86
1649061868622.0002,88,88,86
1649062168622.0002,88,88,86
1649062468622.0002,88,88,86
1649062768622.0002,88,88,86.166
1649063068622.0002,88,88,86.066
1649063368622.0002,88,88,86.275
1649063668622.0002,88,88,86.4
1649063968622.0002,88,88,86
1649064268622.0002,88,88,86.366
1649064568622.0002,88,88,86.266
1649064868622.0002,88,88,86.333
1649065168622.0002,88,88,86.2
1649065468622.0002,88,88,86.966
1649065768622.0002,88,88,86.966
1649066068622.0002,88,88,87
1649066368622.0002,88,88,87
1649066668622.0002,88,88,87.31
1649066968622.0002,88,88,88
1649067268622.0002,88,88,88
1649067568622.0002,88,88,88.166
1649067868622.0002,88,88,88.966
1649068168622.0002,88,88,89
1649068468622.0002,88,88,89
1649068768622.0002,88,88,89
1649069068622.0002,88,88,89
1649069368622.0002,88,88,89
1649069668622.0002,88,88,89
1649069968622.0002,88,88,89
1649070268622.0002,88,88,89
1649070568622.0002,88,88,89
1649070868622.0002,88,88,89
1649071168622.0002,88,88,89
1649071468622.0002,88,88,89
1649071768622.0002,88.066,88,89
1649072068622.0002,88,88,89
1649072368622.0002,88,88,89
1649072668622.0002,88,88,89
1649072968622.0002,88,88,89
1649073268622.0002,88,88,89
1649073568622.0002,88,88,89
1649073868622.0002,88,88,89
1649074168622.0002,88,88,89
1649074468622.0002,87.866,88,89
1649074768622.0002,87,88,89
1649075068622.0002,87,88,89
1649075368622.0002,87,88,89
1649075668622.0002,87,88,89
1649075968622.0002,87,88,89
1649076268622.0002,87.2,88,89
1649076568622.0002,87,88,89
1649076868622.0002,87,88,89
1649077168622.0002,87,88,89
1649077468622.0002,87,88,89
1649077768622.0002,87,88,89
1649078068622.0002,87,88,89
1649078368622.0002,87.066,88,89
1649078668622.0002,87.103,88,89
1649078968622.0002,87.633,88,89
1649079268622.0002,87.966,88,89
1649079568622.0002,87.966,88,89
1649079868622.0002,87.137,87.62,89
1649080168622.0002,87,86.8,89
1649080468622.0002,87,86.533,89
1649080768622.0002,87,87.166,89
1649081068622.0002,87,87.533,89
1649081368622.0002,87,86.1,89
1649081668622.0002,87,86,89
1649081968622.0002,87,85.724,89
1649082268622.0002,86.966,86.533,89
1649082568622.0002,87,87,89
1649082868622.0002,87,87,89
1649083168622.0002,87,87.633,89
1649083468622.0002,87,87.466,88.933
1649083768622.0002,87,87,88.2
1649084068622.0002,87,87,88
1649084368622.0002,86.866,86.9,88
1649084668622.0002,86.933,85.566,88
1649084968622.0002,86.655,84.206,88
1649085268622.0002,87,84.733,88
1649085568622.0002,86.966,85,87.9
1649085868622.0002,86.633,85.5,87
1649086168622.0002,86.142,85.433,87
1649086468622.0002,86,85.266,86.933
1649086768622.0002,86,85,86.333
1649087068622.0002,86,84.884,86
1649087368622.0002,86,84.733,86
1649087668622.0002,86,84.933,86
1649087968622.0002,86.172,83.366,86.103
1649088268622.0002,86.8,83,86.233
1649088568622.0002,86.533,84.366,86
1649088868622.0002,86.733,85.2,85.633
1649089168622.0002,87,85.966,83.366
1649089468622.0002,86.766,86,82.3
1649089768622.0002,86.8,85.333,81.3
1649090068622.0002,86.933,85.233,80.3
1649090368622.0002,87,85.7,79.5
1649090668622.0002,86.733,84.366,79
1649090968622.0002,86.241,85.366,79
1649091268622.0002,86.333,85.62,78.866
1649091568622.0002,86.433,85.133,80.4
1649091868622.0002,86,84.9,81.566
1649092168622.0002,86,84.666,82.766
1649092468622.0002,86,85.133,83
1649092768622.0002,86,86.066,83
1649093068622.0002,86,85.866,83.666
1649093368622.0002,86,85.9,84
1649093668622.0002,86,86.133,84
1649093968622.0002,86,86.6,84
1649094268622.0002,86,85.689,84
1649094568622.0002,86,85.633,84
1649094868622.0002,86,86,84
1649095168622.0002,86,86,84
1649095468622.0002,86,87,84
1649095768622.0002,86.033,87,84
1649096068622.0002,86,87,84
1649096368622.0002,86.033,87,84
1649096668622.0002,86.266,87.1,84
1649096968622.0002,86,87,84
1649097268622.0002,86,87,84
1649097568622.0002,86,87,84
1649097868622.0002,86,87,84
1649098168622.0002,86,87,84
1649098468622.0002,86,87,84
1649098768622.0002,86,87,84
1649099068622.0002,86.266,87,84
1649099368622.0002,86.966,87,84
1649099668622.0002,86.933,86.966,84
