timestamp_ms,70886b1235d7,70886b125971,70886b123735
1649057068622.0002,427.206,429.166,573.206
1649057368622.0002,427.066,430.3,572.466
1649057668622.0002,424.833,460.107,572.366
1649057968622.0002,425.9,471.333,575.7
1649058268622.0002,425.433,460.666,576.5
1649058568622.0002,422.9,453.8,574.5
1649058868622.0002,423.3,445.933,570.833
1649059168622.0002,420.466,439.1,569.233
1649059468622.0002,419.933,431.266,566.7
1649059768622.0002,422.666,427.7,563.033
1649060068622.0002,425.379,424.9,564.931
1649060368622.0002,430.566,424,565.433
1649060668622.0002,431.633,429.206,566.7
1649060968622.0002,431.2,432.3,563.966
1649061268622.0002,430.733,439.4,564.766
1649061568622.0002,430.6,440.633,560
1649061868622.0002,428.233,436.466,558.733
1649062168622.0002,427.966,435.2,561.166
1649062468622.0002,426.666,434,557.366
1649062768622.0002,427.533,436.866,554.333
1649063068622.0002,427.758,437.7,551.6
1649063368622.0002,427.7,439.6,549.034
1649063668622.0002,426.233,444.344,549.033
1649063968622.0002,425.966,454.733,552.413
1649064268622.0002,431.133,454.833,549.866
1649064568622.0002,430.6,457.166,550.833
1649064868622.0002,428.633,454.7,549.766
1649065168622.0002,425.586,450.333,550.366
1649065468622.0002,426.2,447.9,547.366
1649065768622.0002,424.7,442.466,548.3
1649066068622.0002,427.433,437.785,542.566
1649066368622.0002,427.241,440.966,542.344
1649066668622.0002,431,442.357,525.586
1649066968622.0002,435.366,443.233,506.266
1649067268622.0002,440.966,444.9,495.3
1649067568622.0002,442.566,444.8,483.533
1649067868622.0002,445.133,445.266,474.4
1649068168622.0002,446.866,453.1,467.933
1649068468622.0002,449.266,461.166,461.833
1649068768622.0002,448.3,466.7,458.9
1649069068622.0002,448.433,464.7,456.833
1649069368622.0002,450.551,462.4,455.068
1649069668622.0002,449.1,461.4,451.133
1649069968622.0002,452.1,462.896,451.5
1649070268622.0002,453.533,467.333,453.4
1649070568622.0002,452.9,465.9,449.266
1649070868622.0002,455.666,465.033,455.566
1649071168622.0002,455.133,464.833,456.5
1649071468622.0002,461.366,463.1,455.333
1649071768622.0002,462.2,466.366,455.5
1649072068622.0002,465.033,468.533,458.333
1649072368622.0002,459.8,471.233,460.758
1649072668622.0002,460,471.033,458.533
1649072968622.0002,461.866,470.551,458.066
1649073268622.0002,464.933,474.366,458.233
1649073568622.0002,463.7,471.766,460.1
1649073868622.0002,460.166,472.133,457.433
1649074168622.0002,459.433,470.566,457.6
1649074468622.0002,460.733,471.933,455.333
1649074768622.0002,464.933,470.966,453.827
1649075068622.0002,464,472.3,455.233
1649075368622.0002,470.566,473.066,458.206
1649075668622.0002,477.714,469,457.333
1649075968622.0002,478.827,468.724,459.366
1649076268622.0002,477.633,471.333,459.6
1649076568622.0002,475.5,475.933,456.733
1649076868622.0002,474.566,477.633,455.7
1649077168622.0002,474.466,480.166,455.666
1649077468622.0002,473.733,481.766,456.066
1649077768622.0002,478.933,478.133,458.2
1649078068622.0002,480.133,475.866,457
1649078368622.0002,478.766,477.966,455.933
1649078668622.0002,480.482,478.766,456.068
1649078968622.0002,481,486.206,456.133
1649079268622.0002,484.166,486.3,454.633
1649079568622.0002,484.833,487.166,454.366
1649079868622.0002,478.689,489.931,455.517
1649080168622.0002,484.1,495.166,457.4
1649080468622.0002,489.1,506.9,459.233
1649080768622.0002,491.933,511.466,459.166
1649081068622.0002,490.433,514.6,457.133
1649081368622.0002,495.333,537.066,459.933
1649081668622.0002,499.366,535.833,460.793
1649081968622.0002,505.551,534.586,464.466
1649082268622.0002,510,526.766,465.266
1649082568622.0002,511.4,523,467.8
1649082868622.0002,507.066,525.866,469.666
1649083168622.0002,503.966,513.566,471.7
1649083468622.0002,503.166,524.8,470.166
1649083768622.0002,500.066,539.7,474.333
1649084068622.0002,500.866,548.833,475.1
1649084368622.0002,505.466,557.466,473.733
1649084668622.0002,508.366,573.3,475.379
1649084968622.0002,513.206,612.206,481.9
1649085268622.0002,512.733,626.066,489.2
1649085568622.0002,511.733,614.566,513.633
1649085868622.0002,512.366,598,528.068
1649086168622.0002,513.964,599.233,542.433
1649086468622.0002,520.321,600.9,552.166
1649086768622.0002,523.4,614.033,557.1
1649087068622.0002,522.206,615.769,561.466
1649087368622.0002,522.533,610.3,563.933
1649087668622.0002,520.4,605.666,558.6
1649087968622.0002,516.758,600,547.655
1649088268622.0002,511.966,606.137,544.933
1649088568622.0002,509.433,591.066,553.866
1649088868622.0002,506.4,567.633,587.9
1649089168622.0002,502.366,557.8,717.8
1649089468622.0002,503.3,547.933,782.666
1649089768622.0002,507.6,551.9,856.466
1649090068622.0002,505.6,564.2,931.266
1649090368622.0002,508.1,558.933,985.433
1649090668622.0002,508.933,554.566,1019.566
1649090968622.0002,509.655,547.566,1046.344
1649091268622.0002,508.266,551,1038.099
1649091568622.0002,508.966,563.266,943.066
1649091868622.0002,515.333,556.466,849.966
1649092168622.0002,516.033,553.9,776.233
1649092468622.0002,514.366,543.9,737.166
1649092768622.0002,515.866,534.933,712.933
1649093068622.0002,518.9,528.4,689.4
1649093368622.0002,524.5,535.133,675
1649093668622.0002,527.7,546.366,666.3
1649093968622.0002,529.62,537.366,652.966
1649094268622.0002,529.766,531.655,645.31
1649094568622.0002,529.666,534.766,635.266
1649094868622.0002,532.7,550.233,633.333
1649095168622.0002,535.933,550.2,629.1
1649095468622.0002,535.8,546.866,627.6
1649095768622.0002,527.6,542.3,628.833
1649096068622.0002,522.6,535.966,624.2
1649096368622.0002,522,530.1,623.166
1649096668622.0002,517.1,527.333,624.1
1649096968622.0002,519.433,525.379,623.357
1649097268622.0002,522.607,531.931,616.785
1649097568622.0002,519.299,532.533,621.266
1649097868622.0002,516.933,535.433,623.833
1649098168622.0002,516.066,530.033,622.6
1649098468622.0002,514.666,526.566,626.033
1649098768622.0002,512.233,528.866,623.033
1649099068622.0002,507.9,533.966,621.533
1649099368622.0002,504.566,532.566,616.833
1649099668622.0002,503.933,532.033,612.633
