timestamp_ms,70886b1235d7,70886b125971,70886b123735
1649057068622.0002,1.172,0,0.482
1649057368622.0002,1.166,0.033,0.466
1649057668622.0002,1.133,0.142,0.333
1649057968622.0002,1.133,0.033,0.466
1649058268622.0002,1.033,0.033,0.533
1649058568622.0002,1.166,0.033,0.633
1649058868622.0002,1.066,0.066,0.7
1649059168622.0002,1.066,0,0.833
1649059468622.0002,1.166,0,0.666
1649059768622.0002,1.233,0,0.8
1649060068622.0002,1.103,0,0.551
1649060368622.0002,1.133,0,0.633
1649060668622.0002,1.133,0,0.5
1649060968622.0002,1.133,0.033,0.633
1649061268622.0002,1.166,0,0.733
1649061568622.0002,1.1,0,0.6
1649061868622.0002,1.166,0,0.533
1649062168622.0002,1.1,0,0.633
1649062468622.0002,1.133,0,0.533
1649062768622.0002,1.133,0,0.766
1649063068622.0002,1.137,0,0.666
1649063368622.0002,1.1,0.033,0.793
1649063668622.0002,1.233,0.034,0.666
1649063968622.0002,1.033,0,0.62
1649064268622.0002,1.2,0.033,0.566
1649064568622.0002,1.2,0,0.766
1649064868622.0002,1.166,0.033,0.566
1649065168622.0002,1,0,0.6
1649065468622.0002,1.1,0.1,0.766
1649065768622.0002,1.2,0.166,0.6
1649066068622.0002,1.266,0.035,1
1649066368622.0002,1.31,0.066,0.655
1649066668622.0002,1.31,0,0.482
1649066968622.0002,1.133,0,0.466
1649067268622.0002,1,0,0.233
1649067568622.0002,0.933,0,0.066
1649067868622.0002,0.533,0,0.033
1649068168622.0002,0.7,0.033,0
1649068468622.0002,0.7,0.4,0.033
1649068768622.0002,0.466,2.033,0.033
1649069068622.0002,0.633,3.466,0.066
1649069368622.0002,0.655,3.9,0.034
1649069668622.0002,0.666,2.5,0
1649069968622.0002,0.8,1.586,0.066
1649070268622.0002,0.966,0.966,0.066
1649070568622.0002,0.866,0.433,0.166
1649070868622.0002,0.366,0.533,0.033
1649071168622.0002,0.566,0.733,0.066
1649071468622.0002,0.733,0.5,0.166
1649071768622.0002,0.666,0.566,0.133
1649072068622.0002,0.666,0.366,0.1
1649072368622.0002,0.8,0.533,0.034
1649072668622.0002,0.758,0.366,0.033
1649072968622.0002,0.6,0.31,0
1649073268622.0002,0.866,0.633,0.1
1649073568622.0002,0.8,1.166,0.133
1649073868622.0002,0.9,1.066,0.033
1649074168622.0002,0.766,0.833,0.366
1649074468622.0002,0.666,0.566,0.5
1649074768622.0002,0.6,0.233,0.379
1649075068622.0002,0.366,0.366,0.233
1649075368622.0002,0.533,0.166,0.344
1649075668622.0002,0.357,0.266,0.433
1649075968622.0002,0.413,0.275,0.166
1649076268622.0002,0.366,0.133,0.266
1649076568622.0002,0.433,0.333,0.366
1649076868622.0002,0.466,0.233,0.166
1649077168622.0002,0.466,0.366,0.133
1649077468622.0002,0.366,0.4,0.133
1649077768622.0002,0.566,0.433,0.066
1649078068622.0002,0.533,0.3,0.166
1649078368622.0002,0.533,0.2,0.166
1649078668622.0002,0.586,0.166,0.241
1649078968622.0002,0.3,0.344,0.033
1649079268622.0002,0.533,0.2,0.133
1649079568622.0002,0.833,0.5,0.066
1649079868622.0002,0.862,0.655,0.034
1649080168622.0002,0.8,0.9,0.133
1649080468622.0002,0.3,1.2,0.033
1649080768622.0002,0.5,1.666,0.066
1649081068622.0002,0.466,2.9,0
1649081368622.0002,0.466,2.533,0.066
1649081668622.0002,0.433,2.866,0
1649081968622.0002,0.551,2.31,0.033
1649082268622.0002,0.5,1.433,0.033
1649082568622.0002,0.566,1,0.133
1649082868622.0002,0.7,0.833,0
1649083168622.0002,0.5,0.766,0
1649083468622.0002,0.4,0.933,0.066
1649083768622.0002,0.433,0.7,0
1649084068622.0002,0.1,1.3,0
1649084368622.0002,0.266,1.166,0.033
1649084668622.0002,0.333,1.066,0.137
1649084968622.0002,0.482,4.931,0.4
1649085268622.0002,0.2,5.366,0.433
1649085568622.0002,0.333,3.7,0.4
1649085868622.0002,0.133,2.366,0.137
1649086168622.0002,0.25,1.566,0.066
1649086468622.0002,0.428,1.1,0.1
1649086768622.0002,0.2,1.133,0.1
1649087068622.0002,0.172,1.115,0.233
1649087368622.0002,0.3,1.033,0.066
1649087668622.0002,0.266,0.966,0.066
1649087968622.0002,0.103,1.1,0.172
1649088268622.0002,0.333,1.275,0.233
1649088568622.0002,0.2,1.166,0.033
1649088868622.0002,0.133,1.133,0.366
1649089168622.0002,0.266,1.2,1.066
1649089468622.0002,0.166,0.933,0.9
1649089768622.0002,0.1,0.766,0.6
1649090068622.0002,0.133,0.566,0.5
1649090368622.0002,0.366,0.4,0.266
1649090668622.0002,0.133,0.333,0.3
1649090968622.0002,0.275,0.7,0.655
1649091268622.0002,0.266,1.068,0.5
1649091568622.0002,0.3,0.966,0.533
1649091868622.0002,0.233,0.9,0.5
1649092168622.0002,0.3,0.866,0.166
1649092468622.0002,0.466,1,0.266
1649092768622.0002,0.4,0.566,0.233
1649093068622.0002,0.133,0.2,0.233
1649093368622.0002,0.3,0.433,0.333
1649093668622.0002,0.133,0.5,0.3
1649093968622.0002,0.137,0.2,0.5
1649094268622.0002,0.1,0.275,0.482
1649094568622.0002,0.2,0.333,0.3
